"word","results","seed","hansardcount","valence","manualflag"
"disavowing",0.678368407750121,0,5,"Anger",0
"manhandling",0.678242559220078,0,8,"Anger",0
"disparaged",0.678208334271557,0,63,"Anger",0
"glorifying",0.67817938348953,0,80,"Anger",0
"venomous",0.678099399278011,0,22,"Anger",0
"mammon",0.678097151603784,0,43,"Anger",0
"perverts",0.678073328460168,0,58,"Anger",0
"castigates",0.677734435208218,0,19,"Anger",0
"intimates",0.677145117250635,0,10,"Anger",0
"homsi",0.67684526777758,0,2,"Anger",1
"excusing",0.676757686784117,0,36,"Anger",0
"beckwith",0.676498989813873,0,22,"Anger",1
"cordite",0.676383956044233,0,7,"Anger",1
"glanton",0.676209115283826,0,2,"Anger",1
"squiggle",0.675790483131487,0,9,"Anger",0
"satanists",0.675553452448835,0,12,"Anger",0
"scimitars",0.675458112775163,0,4,"Anger",0
"loathes",0.675449069604693,0,14,"Anger",0
"disrespectful",0.675263817357565,0,224,"Anger",0
"eliminative",0.674892087499819,0,1,"Anger",0
"sympathiser",0.674671642617279,0,29,"Anger",0
"ravell",0.674579191745767,0,1,"Anger",1
"birkett",0.674444046214301,0,36,"Anger",1
"gloats",0.67443088160204,0,5,"Anger",0
"zealot",0.674292353167365,0,53,"Anger",0
"senda",0.674231035129079,0,3,"Anger",1
"jests",0.674219261774535,0,6,"Anger",0
"nettle",0.674080069002882,0,563,"Anger",0
"lia",0.673998419511548,0,20,"Anger",1
"laughingly",0.673945326298605,0,31,"Anger",0
"inwardly",0.673421759331478,0,40,"Anger",0
"strangler",0.673133589372749,0,8,"Anger",0
"dalliance",0.672409719510569,0,10,"Anger",0
"repudiating",0.6722924840999,0,66,"Anger",0
"masry",0.671743662251673,0,3,"Anger",1
"waen",0.671722314090434,0,3,"Anger",1
"deedes",0.671295462140547,0,17,"Anger",1
"swallowers",0.671239151099417,0,4,"Anger",0
"mein",0.670913519367378,0,14,"Anger",1
"hollingsworth",0.670843223230779,0,22,"Anger",1
"disloyalty",0.670805287463541,0,56,"Anger",0
"detests",0.670800845928485,0,11,"Anger",0
"masturbation",0.670657119111042,0,3,"Anger",0
"mantras",0.670478431070298,0,83,"Anger",0
"maligning",0.67043500282764,0,30,"Anger",0
"drugging",0.670236401694204,0,5,"Anger",0
